DATE,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
9/17/2014,12.379,8.085,-0.223,-4.854,-3.758,-2.365,-4.229,-3.398,-2.453,-1.64,-2.935,-1.744,-0.821,0.735,1.064,4.45,5.402,15.161,20.16,22.209,16.625,12.644,5.191,15.369
6/9/2014,238.899,197.925,180.609,188.185,159.536,93.591,37.935,23.898,15.425,11.878,6.012,-1.967,-2.555,-0.501,1.035,6.676,-2.051,-0.879,3.488,16.059,15.982,12.887,11.486,15.525
10/10/2014,259.947,184.165,99.813,63.095,43.093,18.201,2.821,2.158,0.389,0.549,2.131,1.256,1.772,-0.748,0.087,-1.168,-1.441,-3.049,-0.141,-1.596,-1.465,2.092,3.043,16.261
7/20/2016,66.133,45.594,33.73,24.049,23.477,29.375,30.528,18.277,2.272,-1.97,-3.614,-2.746,-2.902,-2.279,-1.9,-2.829,-2.302,-3.609,7.571,40.186,41.512,39.582,34.631,17.084
10/5/2015,286.438,273.765,208.093,205.714,173.932,170.123,159.255,120.845,91.259,37.634,16.198,22.039,25.208,4.305,3.842,6.007,3.13,0.173,-0.394,-1.127,3.314,11.878,16.384,17.802
5/11/2016,121.445,99.028,111.617,92.807,82.713,72.123,57.7,35.666,10.107,12.185,12.421,8.076,12.02,6.527,6.574,6.884,5.123,1.207,0.644,12.612,38.242,45.124,31.782,17.884
8/26/2016,401.454,366.815,348.271,350.76,342.761,371.26,374.163,299.481,218.672,193.48,169.026,165.05,162.898,152.475,140.578,124.481,94.773,62.391,40.884,32.045,25.918,26.685,18.669,18.523
1/7/2016,194.945,152.008,97.57,45.889,26.341,11.249,7.338,1.282,-2.099,-3.199,-3.126,-4.157,-3.662,0.044,1.146,-3.345,-2.535,15.933,21.439,34.937,39.662,33.582,35.948,18.605
7/21/2013,62.074,49.518,27.116,15.282,8.565,10.955,10.903,5.276,0.326,-3.891,-3.469,-3.659,-4.437,-4.053,-3.371,-4.579,-0.982,4.262,9.327,7.147,20.688,19.897,22.604,18.852
6/21/2016,768.615,702.599,678.053,677.22,598.394,418.033,236.244,116.103,105.1,86.28,78.505,60.209,63.989,86.079,152.814,239.425,275.672,227.028,136,67.147,26.153,36.761,18.032,19.12
4/5/2016,471.046,446.473,451.142,420.121,389.263,416.165,388.553,326.656,296.185,323.287,339.883,323.657,283.398,267.773,254.337,251.275,241.876,242.407,201.53,127.533,87.525,47.986,44.122,20.093
9/16/2014,168.525,222.39,228.899,199.094,103.82,64.341,123.296,172.67,140.433,126.872,108.754,116.243,90.577,85.265,84.677,82.521,67.805,43.857,45.753,52.256,58.97,53.613,38.507,20.654
8/29/2013,19.513,12.65,11.749,12.748,14.796,17.959,21.272,23.333,8.825,4.976,4.083,-0.102,-0.677,2.344,1.101,0.697,5.976,17.9,18.597,23.068,34.07,44.377,18.376,21.22
12/30/2013,631.03,637.919,600.591,540.368,495.734,465.072,432.554,481.757,479.493,418.339,356.647,324.932,341.61,333.203,278.577,191.897,140.816,107.528,73.299,59.729,42.474,18.317,6.772,21.692
8/20/2013,88.4,91.305,59.92,50.391,35.352,27.878,40.693,44.397,24.288,7.451,1.746,4.8,1.977,1.518,4.884,6.986,5.866,3.554,-1.33,-1.306,0.11,-1.355,3.336,21.846
7/8/2015,470.092,435.413,385.955,393.231,338.624,258.787,194.254,145.169,140.998,159.288,111.758,64.187,60.471,83.464,86.027,108.098,99.732,103.173,94.03,44.528,48.62,34.563,26.884,21.846
9/6/2013,195.498,144.222,110.943,77.617,60.475,41.987,27.689,13.577,-1.226,-3.982,-1.997,-3.425,-3.552,-3.363,-3.708,-4.691,-2.379,-3.775,-1.645,-3.614,-2.057,-2.679,-0.564,22.49
6/11/2015,715.974,727.964,695.277,668.099,634.564,588.86,549.242,503.35,367.763,275.609,209.605,215.103,201.279,176.54,126.494,92.678,53.987,53.998,75.07,75.186,54.981,22.654,5.464,22.505
8/28/2013,148.69,99.21,96.694,122.18,67.797,20.169,48.379,125.281,116.4,42.701,28.02,8.017,33.764,44.3,49.333,68.738,50.8,38.476,27.001,23.692,25.48,25.895,30.093,22.569
8/27/2015,118.414,114.115,153.816,133.313,124.377,106.923,93.982,108.25,76.305,87.419,83.118,52.587,66.948,66.022,60.198,44.578,27.979,11.754,9.763,17.829,20.165,26.727,26.786,22.718
6/15/2014,170.582,167.07,125.031,130.983,147.912,126.99,98.286,63.789,64.913,74.672,53.842,35.241,7.284,17.423,9.139,6.797,13.519,8.633,8.47,4.288,9.025,23.186,26.626,23.791
9/22/2015,229.149,235.151,206.965,206.156,185.346,140.309,123.579,60.582,59.909,52.002,37.302,22.061,12.404,12.141,11.966,16.604,22.115,9.711,14.555,23.781,33.727,49.792,28.755,24.091
6/1/2015,192.483,181.481,170.937,133.366,122.858,112.022,94.874,79.026,78.692,63.281,66.813,50.14,51.439,58.276,89.57,103.76,107.541,124.831,139.009,119.925,84.867,66.242,46.581,24.973
8/22/2016,315.593,367.48,389.952,351.524,325.596,336.682,313.456,278.409,239.246,240.858,222.043,251.595,280.318,299.622,304.803,303.162,266.593,233.941,152.312,84.366,53.42,34.009,31.283,25.415
8/15/2015,152.708,158.499,119.056,138.487,132.812,127.575,111.055,98.41,61.708,26.133,26.339,13.627,9.834,9.183,14.62,36.175,44.077,68.008,57.562,26.289,43.427,44.856,39.997,25.796
8/1/2013,182.496,171.526,168.347,175.27,151.195,122.057,134.333,155.004,176.684,169.323,167.07,152.735,180.496,151.93,130.357,118.393,125.163,137.645,150.002,123.16,87.469,79.598,53.152,26.026
9/11/2015,132.468,94.721,74.852,84.866,116.365,178.127,188.665,226.349,153.979,102.965,67.452,61.427,24.059,2.737,9.584,19.92,22.467,14.782,12.339,10.597,6.434,6.984,8.901,26.585
3/20/2015,340.681,383.229,398.283,462.606,473.706,580.803,637.14,641.626,594.966,538.886,544.836,526.428,452.587,245.453,151.284,99.053,78.363,50.267,39.567,35.844,35.71,15.338,21.024,26.937
7/9/2014,529.435,464.745,334.518,278.483,306.548,323.335,285.979,221.384,146.311,141.157,207.083,296.423,341.743,318.019,313.442,282.206,292.988,296.734,210.788,116.495,64.069,67.42,35.801,26.977
3/20/2016,126.897,137.008,158.471,167.75,164.738,142.453,130.48,111.106,116.474,127.915,96.303,86.303,56.356,45.702,21.385,4.1,-0.116,-0.189,0.619,4.9,12.982,14.031,18.805,27.431
9/3/2015,118.05,95.906,110.406,123.525,120.055,87.121,89.44,64.145,45.374,24.791,6.408,-1.27,2.2,14.812,31.92,36.331,29.153,23.45,40.499,43.977,45.773,41.78,25.689,27.644
4/24/2016,301.158,261.061,216.798,165.652,124.665,108.225,79.367,50.789,25.37,26.688,44.224,45.963,48.314,50.041,73.304,89.341,80.818,77.402,66.263,46.807,61.416,52.019,46.897,28.397
9/28/2014,45.506,51.675,57.829,58.983,44.677,44.88,36.052,27.24,20.303,5.289,0.954,2.033,1.78,1.732,0.546,-1.747,-3.866,0.239,6.422,9.497,8.86,13.107,23.161,28.956
12/7/2013,45.626,37.998,31.927,39.736,35.784,38.97,62.93,58.896,60.068,72.887,75.786,67.657,56.536,77.648,90.391,70.585,69.36,77.769,89.826,96.589,87.214,72.633,49.033,29.175
3/11/2014,931.819,889.598,830.12,748.304,675.441,669.378,625.599,597.808,528.443,371.784,339.119,217.775,193.01,187.168,158.347,150.218,110.393,61.412,28.044,30.685,45.813,46.915,31.621,29.274
11/20/2015,692.068,767.488,822.003,775.841,717.394,687.144,701.761,676.558,582.437,550.455,599.859,597.824,590.732,572.589,477.283,343.108,306.618,296.405,309.416,307.182,183.37,144.609,82.201,29.431
9/4/2016,28.638,26.83,13.781,8.178,1.871,-0.645,-0.781,2.547,1.104,-1.582,-3.109,-3.05,-2.848,-0.907,-1.784,-2.009,-0.897,-2.417,0.199,10.972,30.902,43.916,43.972,30.366
7/17/2014,157.475,103.397,95.816,79.491,104.627,123.559,119.502,93.104,58.163,65.976,86.453,95.057,75.081,79.445,89.862,63.204,59.982,54.03,54.857,46.571,37.778,26.783,33.697,30.748
4/8/2016,597.221,586.053,540.241,575.56,527.91,570.448,655.434,642.53,680.251,722.339,663.285,653.99,670.845,616.813,613.908,566.683,518.391,430.162,325.191,202.855,156.077,111.917,55.744,31.061
6/10/2016,529.521,493.005,480.857,369.174,346.652,326.229,231.638,167.213,111.61,135.27,241.227,283.669,277.527,313.227,311.942,264.522,221.239,171.073,101.776,28.96,6.317,1.506,2.312,31.381
6/25/2015,45.915,49.918,71.564,46.272,32.504,22.596,30.132,41.429,57.427,70.453,70.748,43.895,39.963,29.165,50.19,33.133,3.388,21.424,56.513,61.243,51.722,57.412,49.265,31.491
8/18/2013,188.012,195.61,168.632,161.766,121.977,113.143,126.81,101.124,108.645,149.47,153.685,119.893,80.188,60.895,40.585,15.282,1.69,-1.292,0.237,11.302,17.94,29.524,42.245,31.862
8/17/2015,83.425,87.48,85.446,65.896,52.616,45.539,53.567,28.664,8.362,-2.298,-1.428,4.421,8.827,6.623,0.894,5.426,7.963,5.387,6.335,9.746,13.969,17.482,24.875,31.935
12/6/2013,304.912,509.148,467.78,398.561,357.72,306.34,338.978,336.751,226.157,153.879,177.68,164.582,123.489,116.754,117.203,132.283,118.978,94.267,48.982,49.945,34.351,34.432,27.864,32.233
5/4/2016,60.64,23.301,10.947,25.422,59.486,51.76,43.502,38.647,32.969,11.906,17.473,37.401,37.107,40.676,35.769,29.435,26.923,36.896,46.981,66.141,90.959,119.418,66.236,32.363
4/29/2016,118.478,132.994,88.929,87.804,87.109,112.969,127.349,131.475,156.126,136.4,137.943,174.098,168.385,139.894,79.242,48.249,42.196,45.408,57.853,80.867,71.955,58.432,35.903,32.444
7/28/2016,3.491,4.842,-0.184,9.92,14.334,18.241,22.914,18.307,4.521,4.367,-0.011,4.367,17.236,6.3,2.852,2.458,16.558,22.227,30.727,30.564,33.782,37.293,40.952,32.616
8/19/2016,53.713,28.554,20.217,30.923,44.769,62.112,43.712,36.812,16.255,3.37,0.458,-1.201,-2.868,-3.535,-5.034,-4.012,-4.178,-5.128,-1.208,-1.894,1.775,2.143,12.337,33.07
7/31/2016,106.09,80.956,79.614,100.679,158.917,142.742,88.007,65.038,27.395,16.128,2.168,1.709,9.454,15.125,15.189,24.041,31.433,20.975,9.217,14.532,21.775,39.324,38.978,33.362
8/10/2013,295.037,300.894,260.092,282.99,259.342,244.122,208.062,175.278,146.006,75.752,58.099,75.087,133.709,207.65,217.414,203.125,183.116,171.904,125.775,75.913,75.191,55.193,41.912,33.539
7/26/2015,221.899,216.283,257.42,263.865,243.791,202.648,162.167,114.248,30.463,7.368,5.885,11.581,21.758,41.408,60.256,68.296,80.186,106.795,93.638,106.212,100.817,66.826,26.521,34.579
11/2/2015,397.783,463.389,406.328,369.28,328.832,263.356,190.097,126.841,55.115,35,5.661,-1.539,0.429,-3.055,-3.792,-3.404,0.255,-0.311,-2.637,5.331,8.648,13.548,19.695,34.62
8/4/2014,92.029,82.373,85.516,82.96,91.443,111.819,126.868,147.059,101.123,43.689,28.884,7.65,4.676,2.308,1.675,1.272,0.647,-2.148,-3.929,6.543,7.077,9.227,13.867,34.636
11/28/2015,459.13,396.541,369.097,382.866,328,304.834,326.183,320.672,310.664,261.418,250.584,236.848,203.794,178.173,161.193,158.408,151.091,119.394,121.555,120.245,85,66.776,55.199,37.323
9/27/2016,380.138,399.559,359.403,366.688,377.086,340.237,334.059,327.118,301.503,191.327,171.425,184.595,196.502,173.737,151.663,120.781,100.16,58.082,38.863,50.894,74.785,81.209,68.28,37.642
5/18/2016,48.006,70.291,97.632,89.195,91.668,122.579,148.198,139.585,101.367,91.308,74.595,67.511,40.303,21.916,10.501,13.016,9.803,8.139,5.469,10.617,25.707,40.439,43.29,39.752
9/3/2016,259.077,268.317,245.311,217.362,194.294,194.473,200.08,178.74,110.176,60.142,37.393,64.759,59.835,33.542,20.271,15.737,15.824,18.851,14.48,29.049,41.254,56.372,58.967,40.136
6/21/2014,107.038,91.071,75.452,96.63,157.627,249.467,248.698,185.674,132.025,108.442,137.646,111.208,56.991,18.958,-1.414,-1.991,-2.297,0.992,5.536,6.905,14.302,13.209,26.673,40.21
3/15/2016,352.741,327.183,334.329,282.682,206.981,122.785,80.629,75.33,59.839,36.504,39.405,53.099,79.383,78.897,68.789,51.362,35.703,33.451,45.875,69.526,89.72,78.703,56.534,42.265
8/5/2014,36.514,35.326,38.751,41.022,43.572,34.531,37.524,37.601,20.809,1.976,-2.826,2.469,2.938,4.202,3.809,14.448,53.235,195.277,351.974,323.338,281.861,90.628,30.087,43.151
9/29/2014,19.281,16.103,16.249,17.173,8.624,6.136,32.921,30.059,26.43,30.03,8.322,3.021,5.509,12.104,9.463,7.267,11.728,6.056,0.429,11.091,11.236,17.894,35.28,43.454
8/31/2015,176.978,197.165,214.914,244.023,264.16,228.357,203.723,200.838,150.097,75.617,48.002,53.295,58.232,71.553,96.86,102.555,95.728,82.122,46.83,33.054,44.791,46.112,44.54,44.046
5/5/2015,235.942,223.43,205.404,156.103,129.757,103.03,86.696,55.293,28.344,22.855,49.535,13.942,8.019,33.416,82.094,106.448,103.798,88.83,79.971,48.08,40.323,39.305,43.692,44.434
9/9/2016,380.087,409.484,406.173,454.965,348.214,248.518,166.167,117.341,77.849,27.871,5.549,0.223,2.692,8.28,22.206,44.412,40.671,56.9,64.268,49.615,101.559,35.08,21.204,44.495
9/9/2015,293.466,247.757,280.954,304.768,307.028,298.892,267.308,225.926,164.901,112.613,55.441,34.732,24.548,43.4,61.891,67.379,102.841,203.066,277.52,262.744,151.111,75.125,54.744,45.124
7/29/2016,35.5,35.142,18.923,12.686,41.007,69.485,86.52,89.41,65.514,48.295,25.336,19.368,35.334,36.816,26.509,29.901,30.415,23.116,25.48,26.72,25.415,27.559,38.886,45.21
2/14/2014,870.909,905.863,846.95,818.965,830.308,831.923,847.951,726.728,766.491,812.629,815.658,841.861,862.33,859.292,858.277,839.195,692.019,417.173,308.594,174.614,98.202,47.803,52.339,45.664
5/17/2016,373.371,356.802,298.324,341.332,384.683,350.048,294.745,222.922,137.028,69.163,45.428,35.163,30.297,44.035,26.332,5.544,17.945,29.752,30.501,33.764,38.555,42.762,44.512,45.873
1/2/2015,882.36,827.566,803.262,772.197,730.646,709.382,666.955,658.041,665.989,693.337,667.236,606.7,553.067,510.559,390.35,257.173,170.572,138.075,143.87,115.655,143.946,171.719,142.322,47.538
6/19/2015,385.043,362.53,355.543,353.309,370.301,341.371,393.895,415.87,442.144,381.746,310.731,283.462,256.996,234.435,216.109,189.271,145.79,113.133,78.816,60.909,83.743,69.9,49.762,47.752
3/12/2015,747.487,822.292,878.378,929.79,915.813,845.358,712.102,646.956,617.048,586.174,589.639,533.058,394.25,320.896,289.875,260.535,325.817,336.327,258.688,207.958,153.638,107.16,77.028,48.447
7/12/2015,1.014,3.125,3.555,-1.852,-3.173,-2.514,-2.657,-2.325,-2.988,-3.293,-3.087,-2.989,-3.154,-3.151,-3.036,-0.632,0.815,-1.212,6.514,32.145,19.86,31.057,41.59,51.242
2/2/2014,719.318,663.375,660.076,600.575,460.536,450.508,401.123,305.522,242.246,221.959,158.629,118.474,93.282,97.585,147.159,184.4,177.462,181.089,167.442,87.284,94.414,92.729,79.113,52.258
9/30/2014,52.365,69.834,95.095,98.97,82.322,59.985,65.386,50.477,31.654,10.004,19.597,25.726,40.567,52.922,75.424,106.64,184.713,161.119,68.887,58.35,47.146,59.425,68.397,52.461
11/7/2016,92.29,101.954,80.924,60.154,68.669,63.546,61.641,46.948,23.165,5.463,1.026,0.152,-1.036,2.412,5.095,6.427,11.172,40.479,46.082,29.719,26.393,29.68,35.613,53.261
8/17/2014,512.762,540.591,555.091,590.804,570.653,530.651,459.343,422.908,379.729,333.574,271.548,246.249,253.585,276.297,281.679,248.94,230.238,201.573,144.764,92.695,64.012,57.125,38.515,53.639
9/14/2013,265.384,211.681,175.274,182.371,195.507,213.772,273.897,289.374,283.453,281.65,305.71,279.41,225.726,162.93,148.402,132.791,120.5,93.68,60.316,73.7,71.614,56.409,52.423,54.771
7/27/2015,44.161,54.054,79.697,100.986,82.686,53.826,17.309,4.35,-1.868,-2.747,-2.898,-3.484,-2.64,-3.158,-2.281,-1.522,5.588,5.029,11.001,20.824,40.712,45.235,50.075,55.183
8/15/2013,277.302,205.509,156.373,128.832,88.327,58.276,40.19,36.677,17.008,6.709,12.277,10.985,11.931,17.307,17.889,17.431,12.748,5.499,-0.097,7.634,29.277,41.615,54.15,55.239
6/3/2016,163.473,150.276,160.356,143.28,107.898,56.08,27.364,13.646,6.977,2.486,2.312,-0.503,-0.286,3.81,10.484,8.891,2.92,-0.092,-0.213,8.989,37.218,49.026,52.688,55.496
9/16/2015,3.92,-0.664,-2.119,-2.29,-2.267,-2.427,-2.421,-2.609,-3.056,-3.248,-3.009,-2.623,-2.215,-2.177,-2.401,-2.008,-2.557,0.939,16.642,51.687,75.716,68.744,56.324,55.755
3/24/2014,635.849,614.117,534.062,503.62,450.838,407.498,316.601,249.736,184.944,175.408,109.512,115.873,145.493,145.196,161.248,213.115,277.422,253.207,159.835,71.089,33.531,26.995,56.678,57.087
5/20/2015,619.55,610.127,624.149,544.537,507.163,481.905,640.884,718.231,739.027,750.153,736.298,709.499,642.275,526.457,474.908,443.685,414.888,361.52,294.323,204.383,136.369,97.394,52.811,57.268
5/21/2016,381.188,281.643,210.029,248.518,373.379,382.778,354.02,317.633,426.428,454.365,404.928,356.635,344.715,350.107,307.658,220.593,146.762,68.7,124.977,62.563,68.736,81.362,56.787,58.224
7/10/2014,55.031,58.476,83.363,80.585,62.609,46.573,56.494,45.371,34.06,16.788,13.911,1.738,1.917,0.722,2.756,12.557,11.926,15.24,24.149,30.03,66.052,87.374,63.852,58.233
9/27/2014,157.462,155.883,133.578,115.254,118.845,144.359,163.057,156.566,114.196,69.706,52.634,44.822,21.405,10.174,6.717,6.366,5.991,5.43,21.167,44.253,71.948,83.531,67.187,58.839
10/3/2016,141.946,167.832,117.454,107.909,86.026,78.287,97.054,98.582,110.156,62.774,39.133,23.125,19.715,19.199,22.803,30.204,44.765,55.84,50.896,38.946,42.31,56.102,60.254,59.047
11/28/2013,374.321,369.464,370.547,382.429,382.672,372.778,357.048,348.682,301.828,293.894,304.176,267.252,201.229,151.726,102.581,64.191,34.411,22.319,21.956,24.257,25.056,35.961,47.229,59.623
7/23/2016,535.841,511.601,485.632,475.177,437.545,371.828,333.829,225.506,155.84,135.741,176.192,236.772,308.937,342.097,347.163,312.743,300.162,302.464,299.195,230.982,147.583,133.029,88.175,60.302
10/31/2014,11.935,9.233,-0.364,-1.465,-1.937,-3.242,-2.163,9.001,16.835,9.559,8.643,4.419,8.307,5.438,9.895,6.263,2.69,12.835,21.756,47.381,43.167,45.028,50.963,60.614
8/2/2014,167.131,180.091,184.219,127.201,100.082,51.138,54.959,33.492,3.574,6.655,15.061,17.973,14.427,23.877,55.348,65.421,85.454,142.381,170.57,163.621,126.906,73.506,64.489,60.857
8/29/2016,182.74,176.206,166.541,166.575,118.729,101.361,84.473,82.159,94.012,77.675,74.73,58.397,41.247,40.748,48.11,65.141,70.852,87.366,86.091,95.86,122.151,100.695,87.015,60.98
7/16/2016,100.966,96.835,135.231,164.524,148.741,94.991,83.418,63.594,35.495,7.291,4.798,5.789,12.141,28.904,56.97,65.513,50.854,32.211,30.603,19.774,17.922,47.259,24.802,61.444
6/15/2016,116.43,133.295,132.779,123.264,125.1,107.443,77.799,60.354,41.614,8.548,6.142,15.461,13.932,20.63,20.277,25.699,34.584,27.728,31.492,57.276,85.422,132.62,110.406,61.75
10/28/2013,131.085,139.544,202.657,252.637,306.493,333.198,367.555,377.913,311.52,167.633,78.163,38.381,40.307,27.81,28.334,41.081,50.332,63.943,93.118,109.002,111.001,68.437,61.166,62.234
1/31/2014,696.254,699.011,722.657,731.298,728.138,665.659,590.477,572.387,484.571,381.587,356.854,316.445,273.886,252.44,147.116,202.926,204.807,203.535,184.469,141.747,106.597,74.424,69.978,62.374
3/23/2015,388.542,369.985,484.035,515.138,505.664,454.14,411.393,413.384,332.578,298.107,208.726,209.995,187.964,160.146,144.5,123.555,95.476,84.347,80.502,61.683,66.508,71.764,60.077,62.529
11/24/2015,249.51,329.518,347.034,321.691,265.395,215.77,177.743,158.903,150.805,146.174,124.375,120.514,126.352,119.369,100.286,64.353,28.889,26.924,23.243,19.033,14.31,14.646,21.484,63.403
8/18/2016,124.553,116.209,89.609,71.588,111.222,120.904,78.856,91.471,94.864,89.137,94.668,108.369,156.184,200.317,215.817,231.85,219.616,258.437,258.757,199.057,150.777,116.809,81.313,63.835
7/14/2014,301.797,209.844,154.386,157.633,185.532,141.997,75.732,26.197,18.15,19.902,25.833,39.647,73.061,76.753,69.985,55.951,63.031,48.497,26.069,28.427,50.119,58.513,58.058,64.769
7/16/2013,160.415,135.676,106.586,98.064,70.384,52.889,67.276,81.445,59.993,42.966,51.952,56.804,61.755,75.542,81.721,85.738,69.88,66.429,52.929,38.687,54.626,78.319,82.51,65.035
5/18/2014,84.868,111.902,120.639,147.932,162.942,196.09,158.069,151.75,106.461,115.869,113.491,110.99,108.256,130.94,131.111,120.862,119.118,94.02,100.27,87.271,62.166,70.48,65.214,65.079
9/25/2014,379.928,381.359,336.71,248.768,222.046,184.727,150.669,130.039,114.769,69.476,55.303,43.424,20.244,15.167,20.68,14.722,11.272,8.474,11.788,24.656,39.191,41.867,47.028,65.218
9/25/2013,168.624,179.094,136.919,122.784,129.265,147.341,164.245,138.849,113.608,50.697,29.126,22.328,11.385,4.403,3.121,4.904,7.42,1.808,18.046,37.151,59.037,73.02,71.646,65.743
1/20/2015,177.796,172.517,144.63,182.494,246.446,232.128,147.123,80.763,51.708,35.585,19.699,11.955,21.743,53.789,78.003,42.311,50.739,64.464,87.337,127.408,135.014,110.791,77.67,67.043
5/20/2014,130.94,122.487,113.537,118.067,126.576,124.05,83.111,41.634,12.811,0.958,2.038,27.842,39.701,47.741,38.246,39.382,35.561,33.892,61.594,74.386,86.186,62.531,64.104,67.277
